date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:26:03	126/126	---M-Z	200	added ('OK')	text/plain	date:Sun,%2015%20Jun%202025%2003:26:03%20GMT	https://theqdacademy.com/robots.txt		(from )
11:26:03	257536/257536	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Jun%202025%2003:26:03%20GMT	https://theqdacademy.com/effective-service-leadership-with-enneagram-new-copy/	C:/My%20Web%20Sites/enneagram%20landing%20page/theqdacademy.com/effective-service-leadership-with-enneagram-new-copy/index.html	(from )
11:26:03	61646/61646	---M--	200	added ('OK')	image/png	etag:%22f0ce-636bbb2ca17bf%22	https://theqdacademy.com/wp-content/uploads/2025/06/badges-SF-UTAP-70-_-Higher-Quality.png	C:/My%20Web%20Sites/enneagram%20landing%20page/theqdacademy.com/wp-content/uploads/2025/06/badges-SF-UTAP-70-_-Higher-Quality.png	(from https://theqdacademy.com/effective-service-leadership-with-enneagram-new-copy/)
11:26:03	49461/49461	---M-Z	200	added ('OK')	text/css	etag:%22c135-62438e4d2c36d-gzip%22	https://theqdacademy.com/wp-content/plugins/formidable/css/formidableforms.css?ver=10111957	C:/My%20Web%20Sites/enneagram%20landing%20page/theqdacademy.com/wp-content/plugins/formidable/css/formidableformse98d.css	(from https://theqdacademy.com/effective-service-leadership-with-enneagram-new-copy/)
11:26:04	43154/43154	---M-Z	200	added ('OK')	text/css	etag:%22a892-62438e58da7a3-gzip%22	https://theqdacademy.com/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.8.3	C:/My%20Web%20Sites/enneagram%20landing%20page/theqdacademy.com/wp-content/themes/astra/assets/css/minified/main.min7bcd.css	(from https://theqdacademy.com/effective-service-leadership-with-enneagram-new-copy/)
11:26:04	75973/75973	---M-Z	200	added ('OK')	text/css	etag:%22128c5-6246e4b01fe78-gzip%22	https://theqdacademy.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=1.6.43	C:/My%20Web%20Sites/enneagram%20landing%20page/theqdacademy.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend92a8.css	(from https://theqdacademy.com/effective-service-leadership-with-enneagram-new-copy/)
11:26:04	776/776	---M-Z	200	added ('OK')	text/css	etag:%22308-6246e4b01df38-gzip%22	https://theqdacademy.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.43	C:/My%20Web%20Sites/enneagram%20landing%20page/theqdacademy.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor92a8.css	(from https://theqdacademy.com/effective-service-leadership-with-enneagram-new-copy/)
11:26:04	60705/60705	---M-Z	200	added ('OK')	text/css	etag:%22ed21-62484ff505e38-gzip%22	https://theqdacademy.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.24.7	C:/My%20Web%20Sites/enneagram%20landing%20page/theqdacademy.com/wp-content/plugins/elementor/assets/css/frontend.min52dd.css	(from https://theqdacademy.com/effective-service-leadership-with-enneagram-new-copy/)
11:26:05	3829/3829	---M-Z	200	added ('OK')	text/css	etag:%22ef5-62438da3515f4-gzip%22	https://theqdacademy.com/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=6.0.7	C:/My%20Web%20Sites/enneagram%20landing%20page/theqdacademy.com/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min8bc9.css	(from https://theqdacademy.com/effective-service-leadership-with-enneagram-new-copy/)
11:26:05	8950/8950	---M-Z	200	added ('OK')	text/css	etag:%2222f6-6376fe472dd4c-gzip%22	https://theqdacademy.com/wp-content/uploads/essential-addons-elementor/eael-24178.css?ver=1749810587	C:/My%20Web%20Sites/enneagram%20landing%20page/theqdacademy.com/wp-content/uploads/essential-addons-elementor/eael-24178ed40.css	(from https://theqdacademy.com/effective-service-leadership-with-enneagram-new-copy/)
11:26:05	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-62484ff53e87a-gzip%22	https://theqdacademy.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/enneagram%20landing%20page/theqdacademy.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://theqdacademy.com/effective-service-leadership-with-enneagram-new-copy/)
11:26:05	10260/10260	---M-Z	200	added ('OK')	text/css	etag:%222814-62484ff502f58-gzip%22	https://theqdacademy.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.24.7	C:/My%20Web%20Sites/enneagram%20landing%20page/theqdacademy.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min52dd.css	(from https://theqdacademy.com/effective-service-leadership-with-enneagram-new-copy/)
11:26:05	1105/1105	---M-Z	200	added ('OK')	text/css	etag:%22451-633fa22629302-gzip%22	https://theqdacademy.com/wp-content/uploads/elementor/css/post-7.css?ver=1745999271	C:/My%20Web%20Sites/enneagram%20landing%20page/theqdacademy.com/wp-content/uploads/elementor/css/post-7b6fa.css	(from https://theqdacademy.com/effective-service-leadership-with-enneagram-new-copy/)
11:26:06	24206/24206	---M-Z	200	added ('OK')	text/css	etag:%225e8e-633fa233842af-gzip%22	https://theqdacademy.com/wp-content/uploads/elementor/css/global.css?ver=1745999285	C:/My%20Web%20Sites/enneagram%20landing%20page/theqdacademy.com/wp-content/uploads/elementor/css/global1588.css	(from https://theqdacademy.com/effective-service-leadership-with-enneagram-new-copy/)
11:26:06	9929/9929	---M-Z	200	added ('OK')	text/css	etag:%2226c9-62484ff507d78-gzip%22	https://theqdacademy.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.24.7	C:/My%20Web%20Sites/enneagram%20landing%20page/theqdacademy.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min52dd.css	(from https://theqdacademy.com/effective-service-leadership-with-enneagram-new-copy/)
11:26:06	704/704	---M-Z	200	added ('OK')	text/css	etag:%222c0-62484ff507d78-gzip%22	https://theqdacademy.com/wp-content/plugins/elementor/assets/css/widget-text-editor.min.css?ver=3.24.7	C:/My%20Web%20Sites/enneagram%20landing%20page/theqdacademy.com/wp-content/plugins/elementor/assets/css/widget-text-editor.min52dd.css	(from https://theqdacademy.com/effective-service-leadership-with-enneagram-new-copy/)
